Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Model_clean
Accident,12/12/2017,"Rogersburg, OR",United States,Non-Fatal,Substantial,N552EZ,CORBEIL SHAWN,corbeil shawn,Yes,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Unknown,"The pilots improper landing flare and his subsequent failure to see and avoid a tree during a go-around.
",2017,corbeil shawn
Accident,27/11/1983,"RIVERSIDE, CA",United States,Non-Fatal,Substantial,N20JK,Kepple,kepple,Yes,Reciprocating,Reciprocating,Personal,0,2,2,1,vmc,Landing,Probable Cause,1983,kepple
Accident,05/10/2015,"Dexter, MO",United States,Non-Fatal,Substantial,N3174J,CESSNA,cessna,No,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Unknown,"The pilot's impairment due to the ingestion of alcohol, which impaired his decision-making and resulted in his taking off and flying the airplane until the engine lost power due to fuel exhaustion.",2015,cessna
Accident,30/07/2018,"North Bay, Canada",Canada,Fatal,Substantial,C-IGKT,Quad City,quad city,No,Unknown,Unknown,Personal,1,0,0,0,UNK,Unknown,Unknown,2018,quad city
Accident,24/04/1995,"TSAILE, AZ",United States,Fatal(4),Destroyed,N2587Y,Cessna,cessna,No,Reciprocating,Reciprocating,Business,4,0,0,0,vmc,Maneuvering,Probable Cause,1995,cessna
Accident,06/05/2001,"TINICUM TWNSHP., PA",United States,Non-Fatal,Substantial,N3620Y,Schweitzer,schweitzer,No,Unknown,Unknown,Personal,0,0,0,1,vmc,Maneuvering,Probable Cause,2001,schweitzer
Accident,24/08/1988,"NEW ORLEANS, LA",United States,Fatal(1),Destroyed,N5626F,Alon,alon,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Unknown,Probable Cause,1988,alon
Accident,12/05/1988,"FARMINGDALE, NY",United States,Non-Fatal,Substantial,N39071,Bell,bell,No,Turbo Shaft,Turbo Shaft,Instructional,0,0,1,1,vmc,Landing,Probable Cause,1988,bell
Accident,07/12/2020,"Sadler, TX",United States,Non-Fatal,Substantial,N423WH,VANS,vans,Yes,Unknown,Unknown,Personal,0,0,1,0,vmc,Unknown,Unknown,2020,vans
Accident,05/08/2006,"HYANNIS, MA",United States,Non-Fatal,Substantial,N7533F,Champion,champion,No,Reciprocating,Reciprocating,Banner Tow,0,0,1,0,vmc,Cruise,Probable Cause,2006,champion
Accident,13/09/2006,"LEWISTOWN, MT",United States,Non-Fatal,Substantial,N5074H,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Landing,Probable Cause,2006,cessna
Accident,08/03/1983,"PT REYES, CA",United States,Fatal(2),Destroyed,N1456M,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,2,0,0,0,imc,Cruise,Probable Cause,1983,cessna
Accident,26/02/2002,"PORT ST. LUCIE, FL",United States,Fatal(1),Substantial,N51KK,Krejci,krejci,Yes,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Takeoff,Probable Cause,2002,krejci
Accident,11/10/1997,"OCEANA, VA",United States,Non-Fatal,Substantial,N64507,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,3,vmc,Landing,Probable Cause,1997,cessna
Accident,25/05/1993,"MOUNT VERNON, TX",United States,Non-Fatal,Substantial,N7554F,Champion,champion,No,Reciprocating,Reciprocating,Aerial Observation,0,0,0,1,vmc,Landing,Probable Cause,1993,champion
Accident,25/03/2004,"ANNEMASSE, FRANCE",France,Fatal(3),Substantial,Unknown,Piper,piper,No,Unknown,Unknown,Personal,3,2,0,0,imc,Unknown,Foreign,2004,piper
Accident,08/09/2001,"Baborigame, Mexico",Mexico,Fatal(8),Destroyed,Unknown,Cessna,cessna,No,Unknown,Unknown,Unknown,8,0,0,0,imc,Unknown,Foreign,2001,cessna
Accident,13/07/2008,"Norfolk, VA",United States,Non-Fatal,Substantial,N956CT,Diamond,diamond,No,Reciprocating,Reciprocating,Instructional,0,0,0,2,vmc,Unknown,The flight instructor's inadequate supervision of the student pilot while taxiing for takeoff. A factor contributing to the accident was the student pilot's failure to maintain a visual lookout.,2008,diamond
Accident,01/07/1989,"MONTAGUE, CA",United States,Non-Fatal,Substantial,N124HH,Homebuilt,homebuilt,Yes,Unknown,Unknown,Personal,0,0,0,1,vmc,Landing,Probable Cause,1989,homebuilt
Accident,03/07/1997,"NEW IBERIA, LA",United States,Non-Fatal,Substantial,N49661,Bell,bell,No,Turbo Shaft,Turbo Shaft,Other Work Use,0,1,0,0,vmc,Maneuvering,Probable Cause,1997,bell
Accident,23/07/1995,"HICO, TX",United States,Non-Fatal,Substantial,N500BT,Bellanca,bellanca,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Landing,Probable Cause,1995,bellanca
Accident,16/12/1982,"CARLSBAD, TX",United States,Fatal(4),Destroyed,N6662Y,Beech,beech,No,Reciprocating,Reciprocating,Personal,4,0,0,0,vmc,Cruise,Probable Cause,1982,beech
Accident,11/10/2008,"Placerville, CA",United States,Non-Fatal,Substantial,N7418E,CESSNA,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Unknown,The loss of engine power for undetermined reasons.,2008,cessna
Accident,18/03/1987,"MISSOULA, MT",United States,Non-Fatal,Minor,N3529W,Piper,piper,No,Reciprocating,Reciprocating,Unknown,0,0,0,10,vmc,Taxi,Probable Cause,1987,piper
Accident,26/08/1990,"MOTTVILLE, MI",United States,Non-Fatal,Minor,N6092K,Cameron,cameron,No,Unknown,Unknown,Aerial Observation,0,1,0,4,vmc,Landing,Probable Cause,1990,cameron
Accident,29/05/2011,"Ft. Pierce, FL",United States,Non-Fatal,Substantial,N911SL,BELL,bell,No,Turbo Shaft,Turbo Shaft,Public Aircraft - Local,0,1,0,0,vmc,Unknown,"The pilot's failure to recognize and avoid a loss of tail rotor effectiveness, which resulted in a loss of control and hard landing.",2011,bell
Accident,13/07/2011,"Peyton, CO",United States,Non-Fatal,Substantial,N61262,DARROW STEPHEN,darrow stephen,Yes,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Unknown,The loss of engine power during the descent for reasons that could not be determined because a thorough examination of the engine could not be completed due to the remote accident site.,2011,darrow stephen
Accident,20/07/2013,"Shannon, IL",United States,Non-Fatal,Substantial,N502MH,Air Tractor Inc.,air tractor inc.,No,Turbo Prop,Turbo Prop,Aerial Application,0,0,0,1,vmc,Unknown,The pilots inability to maintain an adequate climb rate after encountering a sudden wind shift during takeoff.,2013,air tractor inc.
Accident,23/10/2010,"New Castle, United Kingdom",United Kingdom,Fatal,Destroyed,N2NR,AGUSTA,agusta,No,Unknown,Unknown,Business,3,0,0,0,UNK,Unknown,Unknown,2010,agusta
Accident,18/03/2022,"Loxahatchee, FL",United States,Fatal,Substantial,N650AG,MD HELICOPTERS INC,md helicopters inc,No,Unknown,Unknown,Personal,2,0,0,0,vmc,Unknown,Unknown,2022,md helicopters inc
Accident,22/05/1983,"NASHVILLE, TN",United States,Non-Fatal,Substantial,N52848,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Takeoff,Probable Cause,1983,cessna
Accident,02/05/1985,"ATLANTA, GA",United States,Non-Fatal,Substantial,N902BH,Piper,piper,No,Reciprocating,Reciprocating,Unknown,0,0,0,2,imc,Taxi,Probable Cause,1985,piper
Incident,28/04/2021,"Fernandopolis - SP, OF",Brazil,Non-Fatal,Unknown,PT-SKG,CESSNA,cessna,No,Unknown,Unknown,Instructional,0,0,0,2,UNK,Unknown,Unknown,2021,cessna
Accident,29/12/2001,"SUNRIVER, OR",United States,Non-Fatal,Substantial,N852AL,Pilatus,pilatus,No,Turbo Prop,Turbo Prop,Positioning,0,0,0,2,vmc,Landing,Probable Cause,2001,pilatus
Accident,12/09/1990,"CONWAY, AR",United States,Fatal(1),Destroyed,N5641D,Beech,beech,No,Reciprocating,Reciprocating,Business,1,3,0,0,imc,Landing,Probable Cause,1990,beech
Accident,16/04/1993,"ELBERT, CO",United States,Fatal(2),Destroyed,N38481,Piper,piper,No,Reciprocating,Reciprocating,Personal,2,0,0,0,imc,Cruise,Probable Cause,1993,piper
Accident,18/06/1994,"MOHAWK, NY",United States,Fatal(1),Destroyed,N4833B,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Climb,Probable Cause,1994,cessna
Accident,27/05/1982,"MILFORD, MI",United States,Fatal(2),Destroyed,N4967G,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,2,0,0,0,imc,Maneuvering,Probable Cause,1982,cessna
Accident,22/02/1987,"VENANGO, NE",United States,Fatal(1),Destroyed,N9498D,Piper,piper,No,Reciprocating,Reciprocating,Personal,1,1,0,0,vmc,Maneuvering,Probable Cause,1987,piper
Accident,05/08/2003,"Antonito, CO",United States,Fatal(1),Destroyed,N1344S,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Maneuvering,Probable Cause,2003,cessna
Accident,25/06/1989,"KIRKLAND, IL",United States,Non-Fatal,Destroyed,N11WR,Renninger,renninger,Yes,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Takeoff,Probable Cause,1989,renninger
Accident,30/07/2018,"Clayton, GA",United States,Non-Fatal,Substantial,N608US,ALLEN W INKS,allen w inks,Yes,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Unknown,"The pilots failure to maintain a proper descent rate, which resulted in a hard, bounced landing and runway overrun.",2018,allen w inks
Accident,13/05/1985,"OWYHEE RESERV., ID",United States,Non-Fatal,Substantial,N5425D,Beech,beech,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Cruise,Probable Cause,1985,beech
Accident,12/07/1999,"PAUL, ID",United States,Non-Fatal,Substantial,N8005C,Grumman,grumman,No,Turbo Prop,Turbo Prop,Aerial Application,0,0,0,1,vmc,Takeoff,Probable Cause,1999,grumman
Accident,12/10/2000,"SAN CARLOS, CA",United States,Non-Fatal,Substantial,N2562D,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Landing,Probable Cause,2000,cessna
